user_login,user_email,user_pass,first_name,last_name,display_name,role,nickname,first_name,last_name,description,rich_editing,comment_shortcuts,admin_color,use_ssl,show_admin_bar_front,locale,homevillas_capabilities,homevillas_user_level,dismissed_wp_pointers,show_welcome_panel,session_tokens,user_last_login,wp_rem_user_last_activity_date,manageedit-shop_ordercolumnshidden,suggested_properties_categories,suggested_properties_max_properties,wp_rem_allow_search,wp_rem_user_status,wp_rem_user_type,wp_rem_is_admin,wp_rem_company,wp_rem_facebook,wp_rem_user_registered,social_login_facebook_id,homevillas_user-settings,homevillas_user-settings-time,homevillas_dashboard_quick_press_last_post_id,nav_menu_recently_edited,managenav-menuscolumnshidden,metaboxhidden_nav-menus,last_update,shipping_city,shipping_address_2,shipping_address_1,shipping_company,shipping_last_name,shipping_first_name,billing_email,billing_phone,billing_state,billing_country,billing_postcode,wp_rem_permissions,wp_rem_public_profile,metaboxhidden_properties,closedpostboxes_properties,member_phone_number,member_thumb,member_name,edit_members_per_page,metaboxhidden_members,closedpostboxes_members,billing_first_name,billing_last_name,billing_company,billing_address_1,billing_address_2,billing_city,shipping_postcode,shipping_country,shipping_state,users_per_page,closedpostboxes_nav-menus,closedpostboxes_page,metaboxhidden_page,homevillas_media_library_mode,display_name,profile_approved
homevillas-admin,noreply@chimpgroup.com,$P$B9Bd0GHpaIJsbw4onwjVx7j8lRpg0x.,,,homevillas-admin,administrator,homevillas-admin,,,,true,false,fresh,0,true,,a:1:{s:13:"administrator";s:1:"1";},10,,1,a:15:{s:64:"c13e8b05e6f417e633ab808464517feec673ba997ed7d161df4e23137d56f562";a:4:{s:10:"expiration";i:1487833904;s:2:"ip";s:14:"203.101.178.34";s:2:"ua";s:73:"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0";s:5:"login";i:1486624304;}s:64:"e25e8aefdaa6ef459bd927e7f3949ac88646704da0a2b67d575b3a82d1ecff8a";a:4:{s:10:"expiration";i:1487834511;s:2:"ip";s:14:"203.101.178.34";s:2:"ua";s:109:"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML,1486992476, ,a:1:{i:0;s:15:"billing_address";}, , , , , , , , , , ,libraryContent=browse&hidetb=1&editor=tinymce&ed_size=950&posts_list_mode=list,1486728937,6329,9,a:5:{i:0;s:11:"link-target";i:1;s:11:"css-classes";i:2;s:3:"xfn";i:3;s:11:"description";i:4;s:15:"title-attribute";},a:7:{i:0;s:27:"add-post-type-property-type";i:1;s:32:"add-post-type-property_enquiries";i:2;s:31:"add-post-type-property_viewings";i:3;s:12:"add-post_tag";i:4;s:24:"add-email_template_group";i:5;s:21:"add-property-category";i:6;s:16:"add-property-tag";}, , , , , , , , , , , , , , ,a:1:{i:0;s:7:"slugdiv";},a:0:{}, , , ,46,a:1:{i:0;s:7:"slugdiv";},a:0:{}, , , , , , , , , ,61,a:0:{},a:0:{},a:6:{i:0;s:12:"revisionsdiv";i:1;s:10:"postcustom";i:2;s:16:"commentstatusdiv";i:3;s:11:"commentsdiv";i:4;s:7:"slugdiv";i:5;s:9:"authordiv";},grid, , ,
besocoatsa,dum3@chimpgroup.com,$P$BF2dss51/Fcp7i8FzdvvqIbgk8.fNP0,,,besocoatsa,wp_rem_member,besocoatsa,besocoatsa,besocoatsa,,true,false,fresh,0,true,,a:1:{s:13:"wp_rem_member";s:1:"1";},0,, , , , , , , , , ,supper-admin, ,5858, , , , , , , , , ,1486708881,,,,,,,,,,,,a:5:{s:15:"company_profile";s:2:"on";s:9:"enquiries";s:2:"on";s:6:"alerts";s:2:"on";s:10:"favourites";s:2:"on";s:16:"arrange_viewings";s:2:"on";}, , , , , , , , , ,,,,,,,,,, , , , , , , ,
bostan-homes,dum4@chimpgroup.com,$P$BADO/mTVaZoDCDg6S7ARseT9LNCke5.,,,bostan homes,wp_rem_member,bostan homes,bostan,homes,,true,false,fresh,0,true,,a:1:{s:13:"wp_rem_member";s:1:"1";},0,, , , , , , , , , ,supper-admin, ,5876, , , , , , , , , ,1486708954,,,,,,,,,,,,a:5:{s:15:"company_profile";s:2:"on";s:9:"enquiries";s:2:"on";s:6:"alerts";s:2:"on";s:10:"favourites";s:2:"on";s:16:"arrange_viewings";s:2:"on";}, , , , , , , , , ,,,,,,,,,, , , , , , , ,
dum5@chimpgroup.com,dum5@chimpgroup.com,$P$BkTMSS0SjrLpIXgNN7.aV89j/WtCAC1,,,dum5@chimpgroup.com,wp_rem_member,dum5@chimpgroup.com,dum5@chimpgroup.com,,,true,false,fresh,0,true,,a:1:{s:13:"wp_rem_member";s:1:"1";},0,, , , , , , , , , ,team-member, ,5869, , , , , , , , , ,1486730881,,,,,,,,,,,,a:5:{s:15:"company_profile";s:2:"on";s:9:"enquiries";s:2:"on";s:6:"alerts";s:2:"on";s:10:"favourites";s:2:"on";s:16:"arrange_viewings";s:2:"on";},yes, , ,018 7946 0077,6300,Jessica Millar, , , ,,,,,,,,,, , , , , , , ,
city-real-estate,dum6@chimpgroup.com,$P$BjCeRlDRiH1uwx0QDRt3LfFeC/ewng/,,,city Real Estate,wp_rem_member,city real estate,City,Real Estate,,true,false,fresh,0,true,,a:1:{s:13:"wp_rem_member";s:1:"1";},0,, , , , , , , , , ,supper-admin, ,5870, , , , , , , , , ,1486709034,,,,,,,,,,,,a:5:{s:15:"company_profile";s:2:"on";s:9:"enquiries";s:2:"on";s:6:"alerts";s:2:"on";s:10:"favourites";s:2:"on";s:16:"arrange_viewings";s:2:"on";}, , , , , , , , , ,,,,,,,,,, , , , , , , ,
dum21@chimpgroup.com,dum21@chimpgroup.com,$P$BbBgfKn4WUwpEUty5S24ljAa6/TLfg.,,,dum21@chimpgroup.com,wp_rem_member,dum21@chimpgroup.com,dum21@chimpgroup.com,,,true,false,fresh,0,true,,a:1:{s:13:"wp_rem_member";s:1:"1";},0,, , , , , , , , , ,team-member, ,5869, , , , , , , , , ,1486730799,,,,,,,,,,,,a:5:{s:15:"company_profile";s:2:"on";s:9:"enquiries";s:2:"on";s:6:"alerts";s:2:"on";s:10:"favourites";s:2:"on";s:16:"arrange_viewings";s:2:"on";},yes, , ,013 5946 0957,6301,Cynthia Bennett, , , ,,,,,,,,,, , , , , , , ,
brokillim,dum11@chimpgroup.com,$P$B1cedDMf9cust6B.DKxZYWZgsH3U2F0,,,brokillim,wp_rem_member,brokillim,brokillim,brokillim,,true,false,fresh,0,true,,a:1:{s:13:"wp_rem_member";s:1:"1";},0,, , , , , , , , , ,supper-admin, ,5875, , , , , , , , , ,1486708968,,,,,,,,,,,,a:5:{s:15:"company_profile";s:2:"on";s:9:"enquiries";s:2:"on";s:6:"alerts";s:2:"on";s:10:"favourites";s:2:"on";s:16:"arrange_viewings";s:2:"on";}, , , , , , , , , ,,,,,,,,,, , , , , , , ,
dum22@chimpgroup.com,dum22@chimpgroup.com,$P$BVGjldWenFKtZX2A64fjfyBW2gkZGa/,,,dum22@chimpgroup.com,wp_rem_member,dum22@chimpgroup.com,dum22@chimpgroup.com,,,true,false,fresh,0,true,,a:1:{s:13:"wp_rem_member";s:1:"1";},0,, , , , , , , , , ,team-member, ,5869, , , , , , , , , ,1486730787,,,,,,,,,,,,a:5:{s:15:"company_profile";s:2:"on";s:9:"enquiries";s:2:"on";s:6:"alerts";s:2:"on";s:10:"favourites";s:2:"on";s:16:"arrange_viewings";s:2:"on";},yes, , ,020 2946 0854,6299,Edward King, , , ,,,,,,,,,, , , , , , , ,
house-smart,dum17@chimpgroup.com,$P$BgOWnDF1G8aDzfukD2sUmRWs3SLXDZ0,,,house smart,wp_rem_member,house smart,house,smart,,true,false,fresh,0,true,,a:1:{s:13:"wp_rem_member";s:1:"1";},0,, , , , , , , , , ,supper-admin, ,5848, , , , , , , , , ,1486709398,,,,,,,,,,,,a:5:{s:15:"company_profile";s:2:"on";s:9:"enquiries";s:2:"on";s:6:"alerts";s:2:"on";s:10:"favourites";s:2:"on";s:16:"arrange_viewings";s:2:"on";}, , , , , , , , , ,,,,,,,,,, , , , , , , ,
dum23@chimpgroup.com,dum23@chimpgroup.com,$P$B1l2NVR7XA496GblBRyaLjJ9RtnmnZ.,,,dum23@chimpgroup.com,wp_rem_member,dum23@chimpgroup.com,dum23@chimpgroup.com,,,true,false,fresh,0,true,,a:1:{s:13:"wp_rem_member";s:1:"1";},0,, , , , , , , , , ,team-member, ,5869, , , , , , , , , ,1486730810,,,,,,,,,,,,a:5:{s:15:"company_profile";s:2:"on";s:9:"enquiries";s:2:"on";s:6:"alerts";s:2:"on";s:10:"favourites";s:2:"on";s:16:"arrange_viewings";s:2:"on";},yes, , ,015 3946 0858,6297,DouglasLawrence, , , ,,,,,,,,,, , , , , , , ,
